ke,len_inLAr
0.0398732,1.55247
0.0400019,1.57283
0.0401029,1.57957
0.0402881,1.58334
0.0403027,1.60449
0.0404693,1.62025
0.0408375,1.62231
0.0408379,1.63159
0.0409164,1.63874
0.0412317,1.66011
0.0415295,1.68081
0.0417357,1.68271
0.0419585,1.705
0.0420631,1.72095
0.0421684,1.73132
0.0424099,1.76314
0.0428216,1.79379
0.0431001,1.81461
0.0435038,1.82457
0.0436405,1.82625
0.0437282,1.84588
0.0438324,1.86731
0.0440545,1.87355
0.0442378,1.87498
0.0443477,1.87845
0.0444059,1.89456
0.0447256,1.90067
0.04482,1.90279
0.0449126,1.92052
0.0450644,1.93219
0.0451324,1.96314
0.0453477,1.97578
0.0455848,1.98961
0.046,2.00595
0.046077,2.02437
0.0461126,2.02708
0.0462833,2.05448
0.0465501,2.05493
0.0466081,2.09143
0.0468086,2.11058
0.0475383,2.15891
0.0478008,2.17873
0.0481448,2.20306
0.0484517,2.21269
0.048509,2.21737
0.0485804,2.22813
0.0489344,2.25072
0.0492706,2.27568
0.0493276,2.28246
0.0494205,2.28706
0.0495372,2.30054
0.0496755,2.31215
0.0499789,2.31644
0.0500844,2.35459
0.0505527,2.36099
0.0506841,2.41678
0.051117,2.42409
0.0517093,2.45705
0.0517798,2.49268
0.0519435,2.53406
0.0524332,2.54911
0.0527943,2.58284
0.0529727,2.58961
0.0530805,2.62887
0.0539606,2.70685
0.0542424,2.73596
0.0548176,2.75763
0.0550439,2.75925
0.055095,2.82698
0.055671,2.85366
0.0559289,2.8684
0.0561248,2.90871
0.0564737,2.91902
0.0567983,2.97247
0.0573807,2.98623
0.0577832,3.03093
0.0578972,3.0404
0.0581958,3.07025
0.0583447,3.08597
0.0583631,3.09001
0.0584189,3.10751
0.0590804,3.12797
0.0594165,3.1464
0.0595738,3.16092
0.0596916,3.17908
0.0596922,3.20073
0.0599148,3.21491
0.0600961,3.24306
0.0603138,3.25875
0.0603244,3.27218
0.0603682,3.31145
0.060898,3.33147
0.0609249,3.33167
0.0612142,3.33254
0.0613396,3.33457
0.0615162,3.34977
0.0617848,3.39171
0.0618143,3.42342
0.0622517,3.46103
0.0627725,3.47752
0.0630826,3.48774
0.063101,3.49376
0.0631322,3.56744
0.0632906,3.57141
0.0640057,3.58419
0.0641528,3.60907
0.0642478,3.63095
0.0643773,3.63152
0.0646212,3.6501
0.0648117,3.70059
0.0648127,3.70138
0.0653627,3.75102
0.0655047,3.76655
0.0657649,3.77772
0.0659968,3.82894
0.0660446,3.82921
0.0667684,3.84645
0.066775,3.92059
0.0674418,4.06235
0.0684566,4.06984
0.069206,4.08854
0.0694628,4.13498
0.0696409,4.17572
0.0696934,4.21611
0.0701026,4.22759
0.0703787,4.23241
0.0704689,4.25467
0.0707398,4.34773
0.0715058,4.44644
0.0720257,4.56317
0.0736449,4.59677
0.0737048,4.64916
0.0745225,4.70447
0.0746223,4.72345
0.0753585,4.72705
0.0755074,4.73216
0.0755652,4.77167
0.0758914,4.81371
0.0763869,4.88015
0.0764018,4.89991
0.0764494,4.956
0.0769961,4.98227
0.0771358,5.09161
0.0775713,5.09991
0.0779471,5.13295
0.0785348,5.18166
0.0789446,5.20891
0.0792349,5.24369
0.0795932,5.33402
0.0799042,5.34821
0.0802397,5.42491
0.0807432,5.43252
0.0810429,5.47552
0.0816703,5.53328
0.0821877,5.56397
0.0827958,5.59367
0.0831142,5.62453
0.0832237,5.64488
0.0834396,5.74464
0.0834568,5.74983
0.0837287,5.83776
0.0847675,5.97645
0.0858994,6.05325
0.0867239,6.09218
0.0867625,6.23699
0.0872734,6.2466
0.0877769,6.26424
0.0884929,6.47496
0.0890082,6.47915
0.0894394,6.5006
0.0897951,6.55821
0.0903509,6.57939
0.0903781,6.66904
0.0913693,6.72644
0.0916056,6.85573
0.091759,6.86219
0.092569,6.91424
0.092613,6.91658
0.0933711,6.96229
0.0934857,6.96949
0.0935474,7.14084
0.0939641,7.19962
